80%,85%,90%,95%,100%
4,5,11,22,29
4,5,7,14,29
4,5,7,18,27
5,8,12,18,27
6,7,8,19,27
4,5,11,21,27
3,3,6,14,29
2,5,5,20,28
4,5,11,19,28
3,5,6,14,28
4,4,8,21,28
3,4,9,14,25
7,7,11,22,29
3,8,10,17,28
3,4,7,16,26
3,6,7,16,26
6,6,7,15,24
4,5,9,19,28
4,4,9,14,29
4,5,7,16,28
4,6,10,15,29
5,7,8,10,25
4,6,9,17,27
5,6,11,20,29
8,8,9,13,28
3,4,6,15,29
5,6,8,22,29
8,8,10,19,25
5,7,9,16,28
8,8,9,13,28
5,7,12,18,28
2,4,6,20,29
4,5,7,15,29
6,8,11,18,29
4,6,8,13,29
6,10,10,22,29
4,5,10,16,22
4,5,6,12,27
7,7,11,16,29
3,5,10,17,27
4,6,8,14,28
6,6,8,16,29
6,6,7,11,29
5,7,8,12,29
4,7,9,11,27
2,6,12,18,29
6,7,10,18,28
6,7,8,20,26
4,6,7,17,25
6,9,12,14,26
5,9,13,19,29
4,8,9,18,28
3,6,6,20,29
6,6,9,15,28
4,6,7,10,29
4,7,10,18,29
4,6,8,13,25
5,6,8,13,26
4,8,11,15,23
4,6,8,16,29
6,8,10,12,28
6,9,10,15,29
6,9,9,17,28
6,6,10,17,24
3,4,6,21,28
6,6,7,18,27
5,13,13,19,28
4,7,14,22,29
5,6,7,10,27
4,5,7,17,28
3,5,8,12,29
3,3,6,18,26
5,6,9,14,29
4,6,11,17,28
3,7,8,19,29
6,7,15,21,29
6,10,15,18,29
6,7,10,16,27
5,8,9,13,29
2,6,9,22,29
5,6,10,18,27
5,7,10,19,25
6,9,12,23,29
4,5,11,16,29
6,9,12,22,29
4,5,11,20,29
9,9,9,22,29
2,3,7,10,27
3,7,9,18,27
4,5,9,13,25
5,9,10,13,27
4,6,10,18,29
3,3,13,19,29
5,9,9,19,29
5,9,11,25,29
3,7,13,21,29
4,5,10,18,29
5,7,9,22,29
5,9,9,21,27
6,7,10,19,29
4,6,11,20,29
6,6,14,19,29
3,6,12,15,29
2,4,6,21,29
2,3,7,13,28
3,6,10,22,25
4,7,11,19,26
6,8,11,15,29
4,6,7,19,28
5,7,8,13,29
5,6,10,18,29
5,9,10,20,25
4,6,11,14,24
3,5,14,21,29
3,8,9,13,25
3,5,8,14,27
2,5,7,12,27
3,6,9,14,25
5,8,10,14,28
4,5,10,17,25
4,7,8,12,29
6,8,14,17,29
2,3,4,11,27
6,7,9,19,26
4,6,9,19,25
3,8,10,17,29
2,4,7,20,25
5,6,8,19,27
3,8,14,14,28
1,2,7,10,29
4,9,11,21,29
6,8,11,16,27
6,6,7,11,29
3,6,12,17,25
7,8,9,18,24
4,7,10,21,29
3,6,12,12,29
5,6,8,17,28
3,6,7,14,28
5,6,8,18,29
3,3,4,17,25
5,5,8,16,27
6,7,9,12,19
7,8,11,20,29
4,5,11,17,29
4,4,8,20,27
3,6,10,12,26
4,8,10,17,28
6,6,6,11,29
7,7,7,23,29
4,9,9,21,28
6,8,10,20,29
4,5,8,16,29
5,6,8,17,28
4,4,6,15,28
7,7,9,12,27
4,5,8,11,20
5,7,8,18,29
3,4,8,16,27
8,8,8,17,29
5,6,12,21,29
4,5,7,15,28
3,7,12,18,28
4,7,9,23,29
6,7,9,15,28
5,6,7,22,29
7,9,11,20,29
4,6,9,19,28
2,4,6,12,28
4,7,7,9,29
4,6,6,20,29
4,6,9,15,27
4,5,7,9,27
3,7,12,17,29
4,6,8,17,25
2,2,7,16,28
4,6,8,16,29
5,8,10,13,25
3,3,6,20,28
4,8,9,14,26
3,4,11,23,29
4,5,9,11,28
4,9,9,16,29
5,5,9,13,29
6,8,10,18,28
3,4,13,17,29
5,7,8,15,29
5,6,7,13,29
5,5,7,17,27
4,11,13,21,27
5,6,8,13,29
4,7,11,20,29
3,5,7,9,26
3,5,8,20,28
3,12,14,24,29
2,2,9,23,29
5,7,9,16,27
5,9,12,19,28
3,5,8,14,28
5,5,7,11,28
5,6,9,14,29
6,7,9,15,26
5,6,9,20,29
5,7,11,14,26
4,8,9,21,28
3,3,6,14,28
5,7,13,19,26
7,7,7,14,27
3,4,7,19,28
4,6,9,16,28
6,7,9,16,29
4,4,10,16,29
7,10,13,22,29
3,5,8,16,29
3,5,6,23,26
4,7,9,17,29
3,6,12,19,29
5,6,8,11,28
3,4,8,13,28
6,9,11,17,27
3,4,7,12,27
5,6,11,18,28
6,7,12,21,28
4,6,9,18,29
4,5,8,16,29
