project,bug,test_id,coverage,mutation score,time
Chart,12,1,95%,50%,153.0854619
Chart,12,2,86%,43%,149.5323038
Chart,12,3,91%,52%,139.7347529
Chart,12,4,95%,51%,138.57742
Chart,12,5,93%,49%,139.974175
Chart,12,6,94%,51%,138.193656
Chart,12,7,95%,51%,142.8573651
Chart,12,8,83%,36%,138.1242208
Chart,12,9,96%,52%,146.591275
Chart,12,10,95%,51%,137.301475
Chart,12,11,95%,51%,138.8751891
Chart,12,12,94%,51%,138.310498
Chart,12,13,93%,52%,141.1491039
Chart,12,14,96%,53%,140.4943569
Chart,12,15,94%,49%,141.453028
Chart,12,16,94%,50%,137.9744308
Chart,12,17,90%,52%,142.0285711
Chart,12,18,94%,50%,140.8375368
Chart,12,19,95%,51%,141.4391198
Chart,12,20,92%,51%,138.2744522
Chart,12,21,96%,54%,141.2683041
Chart,12,22,95%,51%,141.6782548
Chart,12,23,88%,39%,140.4385519
Chart,12,24,95%,51%,140.350085
Chart,12,25,94%,51%,141.5352321
Chart,12,26,95%,52%,142.0494571
Chart,12,27,96%,51%,141.9751041
Chart,12,28,94%,51%,141.4874122
Chart,12,29,94%,53%,146.24703
Chart,12,30,92%,53%,140.2016962
Chart,24,1,100%,52%,26.84220409
Chart,24,2,100%,81%,23.89468002
Chart,24,3,100%,53%,24.34673691
Chart,24,4,100%,77%,23.46453905
Chart,24,5,100%,49%,22.75348091
Chart,24,6,100%,84%,25.20868707
Chart,24,7,100%,81%,21.72316098
Chart,24,8,100%,56%,21.38348603
Chart,24,9,100%,56%,22.6845119
Chart,24,10,100%,77%,23.94949603
Chart,24,11,100%,88%,23.30813003
Chart,24,12,100%,48%,22.67853212
Chart,24,13,100%,79%,21.7201798
Chart,24,14,100%,85%,24.07074904
Chart,24,15,100%,82%,22.69796515
Chart,24,16,100%,49%,23.08402205
Chart,24,17,100%,52%,21.91787195
Chart,24,18,100%,79%,22.40882897
Chart,24,19,100%,52%,21.527179
Chart,24,20,100%,48%,21.94070005
Chart,24,21,100%,77%,23.14061713
Chart,24,22,100%,52%,25.74422407
Chart,24,23,100%,78%,24.22297096
Chart,24,24,100%,48%,23.00761509
Chart,24,25,100%,79%,25.8116231
Chart,24,26,100%,56%,23.627285
Chart,24,27,100%,56%,25.4138031
Chart,24,28,100%,77%,22.12779307
Chart,24,29,100%,88%,21.99815702
Chart,24,30,100%,78%,21.80604815
Chart,26,1,88%,45%,156.8910511
Chart,26,2,83%,37%,148.3425729
Chart,26,3,83%,37%,151.6356249
Chart,26,4,,,18.18444991
Chart,26,5,83%,37%,150.4296119
Chart,26,6,87%,43%,154.778271
Chart,26,7,84%,35%,149.0190279
Chart,26,8,88%,42%,154.3474009
Chart,26,9,84%,31%,159.4510379
Chart,26,10,84%,34%,152.1244352
Chart,26,11,81%,39%,150.7480311
Chart,26,12,84%,37%,154.2915649
Chart,26,13,65%,29%,151.858551
Chart,26,14,84%,46%,152.7732658
Chart,26,15,85%,35%,154.903753
Chart,26,16,89%,37%,151.7059321
Chart,26,17,85%,41%,150.0636301
Chart,26,18,88%,42%,153.3691518
Chart,26,19,89%,45%,149.9517519
Chart,26,20,83%,32%,151.51037
Chart,26,21,84%,40%,153.540107
Chart,26,22,85%,32%,723.1042821
Chart,26,23,83%,33%,151.457603
Chart,26,24,75%,27%,152.0354071
Chart,26,25,86%,38%,155.6354928
Chart,26,26,67%,28%,150.4342821
Chart,26,27,71%,23%,145.863276
Chart,26,28,84%,36%,154.626137
Chart,26,29,91%,47%,157.2917442
Chart,26,30,85%,35%,152.3068111
Chart,3,1,94%,49%,146.2205338
Chart,3,2,97%,49%,151.55195
Chart,3,3,92%,43%,152.3606439
Chart,3,4,94%,48%,150.1855891
Chart,3,5,91%,45%,143.870281
Chart,3,6,98%,49%,147.1835361
Chart,3,7,95%,48%,263.469486
Chart,3,8,96%,50%,147.6885672
Chart,3,9,97%,50%,145.3838379
Chart,3,10,93%,48%,148.6557698
Chart,3,11,97%,50%,194.8604519
Chart,3,12,97%,49%,155.4755311
Chart,3,13,97%,50%,148.24297
Chart,3,14,97%,51%,145.583185
Chart,3,15,97%,48%,153.4512832
Chart,3,16,96%,48%,248.0836189
Chart,3,17,95%,48%,261.3758268
Chart,3,18,97%,50%,146.7760992
Chart,3,19,96%,49%,144.4486639
Chart,3,20,95%,49%,149.4187682
Chart,3,21,97%,51%,170.506984
Chart,3,22,95%,48%,146.0725551
Chart,3,23,95%,48%,147.065556
Chart,3,24,95%,48%,143.9339149
Chart,3,25,93%,48%,153.7961278
Chart,3,26,93%,47%,145.1247501
Chart,3,27,96%,49%,145.3007209
Chart,3,28,92%,47%,145.1237469
Chart,3,29,95%,49%,143.649853
Chart,3,30,93%,48%,144.0936749
Chart,5,1,100%,39%,52.90337896
Chart,5,2,100%,38%,97.87537408
Chart,5,3,100%,35%,65.587358
Chart,5,4,100%,40%,82.27142215
Chart,5,5,100%,37%,57.9315722
Chart,5,6,100%,37%,69.69597483
Chart,5,7,100%,38%,62.42535591
Chart,5,8,100%,35%,51.74069309
Chart,5,9,100%,39%,62.70472693
Chart,5,10,100%,37%,89.59226799
Chart,5,11,100%,38%,89.09799004
Chart,5,12,100%,39%,56.87548208
Chart,5,13,100%,38%,53.72577906
Chart,5,14,100%,37%,72.40253806
Chart,5,15,100%,38%,73.87948585
Chart,5,16,100%,39%,55.54073501
Chart,5,17,100%,35%,63.48108792
Chart,5,18,100%,37%,59.98937798
Chart,5,19,100%,37%,79.13115978
Chart,5,20,100%,37%,110.541446
Chart,5,21,100%,37%,52.30671597
Chart,5,22,100%,40%,68.28783989
Chart,5,23,100%,39%,112.765969
Chart,5,24,100%,38%,63.43042302
Chart,5,25,100%,37%,72.39753795
Chart,5,26,100%,38%,62.68101192
