Patch,Project,Bug,Test,Seed,Test Number,Failing Tests,Time
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,0,28,0,4.723
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,1,28,0,3.859
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,2,28,0,3.622
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,3,28,0,3.684
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,4,30,0,3.625
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,5,27,0,3.766
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,6,30,0,3.75
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,7,24,0,3.62
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,8,27,0,3.769
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,9,29,0,4.25
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,10,26,0,3.723
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,11,26,0,4.283
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,12,28,0,3.74
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,13,32,0,4.88
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,14,28,0,3.721
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,15,29,0,3.656
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,16,29,0,3.694
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,17,27,0,4.114
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,18,32,0,3.638
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,19,28,2,3.837
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,20,28,0,3.579
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,21,28,0,3.754
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,22,30,0,3.55
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,23,30,0,3.666
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,24,30,0,3.786
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,25,29,0,3.771
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,26,29,0,3.748
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,27,28,0,4.31
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,28,28,0,4.259
patch-Chart-12-fix.patch,Chart,12,Evosuite_2019,29,28,0,4.19
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,0,8,0,1.914
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,1,9,0,1.915
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,2,9,0,1.915
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,3,8,0,1.915
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,4,8,0,1.914
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,5,9,0,1.916
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,6,9,0,1.904
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,7,9,0,1.915
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,8,8,0,1.922
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,9,9,0,1.926
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,10,9,0,1.917
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,11,9,0,1.917
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,12,8,0,1.904
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,13,8,0,1.906
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,14,8,0,1.926
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,15,9,0,1.918
patch-Chart-24-fix.patch,Chart,24,Evosuite_2019,16,9,0,1.918
