Patch,project,bug,test,seed,total test,failing test,time,failures,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,15,1035,0,2.439,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,16,1083,0,2.351,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,17,949,0,2.421,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,18,949,0,2.455,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,19,949,0,2.55,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,20,1020,0,2.547,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,21,918,0,2.469,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,22,918,0,2.904,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,23,918,0,2.649,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,24,971,0,2.292,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,25,971,0,2.497,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,26,971,0,2.518,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,27,971,0,2.362,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,28,971,0,2.335,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,29,1019,0,2.678,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,30,985,0,1.073,,,java.lang.AssertionError: Expecting exception: IllegalArgumentException^,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,0,8,0,0.442,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,1,9,0,0.396,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,2,9,0,0.363,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,3,8,0,0.359,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,4,8,0,0.338,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,5,9,0,0.336,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,6,9,0,0.334,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,7,9,0,0.326,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,8,8,0,0.323,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,9,9,0,0.343,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,10,9,0,0.388,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,11,9,0,0.342,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,12,8,0,0.365,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,13,8,0,0.322,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,14,8,0,0.35,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,15,9,0,0.33,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,16,9,0,0.324,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,17,9,0,0.333,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,18,8,0,0.341,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,19,8,0,0.38,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,20,8,0,0.364,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,21,9,0,0.325,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,22,9,0,0.381,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,23,9,0,0.345,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,24,8,0,0.353,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,25,8,0,0.336,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,26,8,0,0.335,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,27,9,0,0.336,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,28,9,0,0.333,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Evosuite,29,8,0,0.358,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,1,1573,0,0.717,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,2,1707,0,0.503,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,3,1859,0,0.519,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,4,1896,0,0.423,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,5,1593,0,0.482,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,6,1871,0,0.529,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,7,1839,0,0.526,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,8,1812,0,0.46,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,9,1901,0,0.465,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,10,1835,0,0.48,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,11,1657,0,0.509,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,12,1515,0,0.521,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,13,1678,0,0.53,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,14,1573,0,0.494,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,15,1675,0,0.431,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,16,1878,0,0.426,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,17,1713,0,0.556,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,18,1622,0,0.401,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,19,1891,0,0.567,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,20,1846,0,0.527,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,21,1558,0,0.481,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,22,1874,0,0.658,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,23,1858,0,0.507,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,24,1887,0,0.463,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,25,1834,0,0.523,,"java.lang.AssertionError: '1.0' != '0.0'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^",,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,26,1848,0,0.542,,"java.lang.AssertionError: '-1' != '-2'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^",,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,27,1839,0,0.534,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,28,1882,0,0.49,,,,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,29,1786,0,0.465,,"java.lang.AssertionError: '10' != '97.0'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^java.lang.AssertionError: '97.0' != '0.0'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^java.lang.AssertionError: '10' != '97.0'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^java.lang.AssertionError: '10' != '97.0'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^",,,,,,,,
patch1-Chart-24-Jaid.patch,Chart,24,DRR_Randoop,30,1880,0,0.515,,"java.lang.AssertionError: '100.0' != '1.0'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^java.lang.AssertionError: '100.0' != '1.0'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^java.lang.AssertionError: '100.0' != '1.0'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^java.lang.AssertionError: '100.0' != '1.0'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^java.lang.AssertionError: '100.0' != '1.0'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^java.lang.AssertionError: '100.0' != '1.0'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^java.lang.AssertionError: '-2' != '-3'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^java.lang.AssertionError: '-1' != '0'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^java.lang.AssertionError: '100.0' != '1.0'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^",,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,0,8,0,0.478,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,1,9,0,0.386,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,2,9,0,0.503,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,3,8,0,0.391,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,4,8,0,0.408,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,5,9,0,0.58,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,6,9,0,0.443,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,7,9,0,0.396,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,8,8,0,0.408,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,9,9,0,0.403,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,10,9,0,0.404,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,11,9,0,0.368,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,12,8,0,0.396,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,13,8,0,0.378,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,14,8,0,0.412,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,15,9,0,0.416,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,16,9,0,0.431,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,17,9,0,0.429,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,18,8,0,0.576,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,19,8,0,0.575,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,20,8,0,0.431,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,21,9,0,0.432,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,22,9,0,0.418,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,23,9,0,0.448,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,24,8,0,0.45,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,25,8,0,0.5,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,26,8,0,0.395,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,27,9,0,0.516,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,28,9,0,0.651,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Evosuite,29,8,0,0.386,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,1,1573,0,0.611,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,2,1707,0,0.51,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,3,1859,0,0.6,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,4,1896,0,0.517,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,5,1593,0,0.478,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,6,1871,0,0.523,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,7,1839,0,0.523,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,8,1812,0,0.524,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,9,1901,0,0.513,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,10,1835,0,0.528,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,11,1657,0,0.504,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,12,1515,0,0.519,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,13,1678,0,0.522,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,14,1573,0,0.497,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,15,1675,0,0.481,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,16,1878,0,0.534,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,17,1713,0,0.509,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,18,1622,0,0.483,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,19,1891,0,0.507,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,20,1846,0,0.522,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,21,1558,0,0.521,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,22,1874,0,0.495,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,23,1858,0,0.521,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,24,1887,0,0.548,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,25,1834,0,0.552,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,26,1848,0,0.529,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,27,1839,0,0.492,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,28,1882,0,0.516,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,29,1786,0,0.498,,,,,,,,,,
patch1-Chart-24-ssFix.patch,Chart,24,DRR_Randoop,30,1880,0,0.557,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,7,1220,0,2.503,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,5,1065,0,1.095,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,3,1109,0,1.143,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,4,1109,0,1.17,,"java.lang.AssertionError: '15.104412573075518' != '15.104412573075516'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^java.lang.AssertionError: '15.104412573075518' != '15.104412573075516'^	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)^",,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,0,60,0,3.047,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,1,56,0,2.3,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,2,59,0,2.506,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,4,53,0,2.288,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,5,54,0,2.202,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,6,59,0,2.204,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,7,60,0,2.743,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,8,57,0,2.273,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,9,61,0,2.224,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,10,54,0,2.836,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,11,56,0,2.264,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,12,56,0,2.664,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,13,57,0,2.23,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,14,59,0,2.299,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,15,59,0,2.305,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,16,55,0,2.321,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,17,58,0,2.189,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,18,57,0,2.148,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,19,56,0,2.182,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Evosuite,20,62,0,2.237,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,11,1061,0,2.455,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,12,1061,0,2.465,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,13,1061,0,2.361,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,14,1061,0,2.378,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,15,1061,0,2.338,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,16,1061,0,2.583,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,17,1061,0,2.459,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,18,1061,0,2.362,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,19,1061,0,2.418,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,20,1061,0,2.367,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,21,1061,0,2.32,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,22,1061,0,2.355,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,23,1061,0,2.307,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,24,1061,0,2.339,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,25,1061,0,2.297,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,26,1061,0,2.306,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,27,1061,0,2.329,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,28,1195,0,2.316,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,29,1195,0,2.372,,,,,,,,,,
patch1-Chart-26-Jaid.patch,Chart,26,DRR_Randoop,30,1195,0,2.38,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,18,70,0,0.559,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,0,62,0,0.659,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,1,73,0,0.615,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,2,69,0,0.258,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,3,68,0,0.103,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,4,65,0,0.102,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,5,69,0,0.724,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,6,70,0,0.766,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,7,63,0,0.505,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,8,67,0,0.58,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,9,66,0,0.52,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,10,69,0,0.551,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,11,65,0,0.116,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,12,73,0,0.599,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,13,74,0,0.106,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,14,69,0,0.116,,,,,,,,,,
patch1-Chart-3-Arja.patch,Chart,3,DRR_Evosuite,15,67,0,0.187,,,,,,,,,,
