Patch,project,bug,test,seed,total test,failing test,time,failures,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,0,28,0,3.458,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,1,28,0,2.344,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,2,28,0,2.342,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,3,28,0,2.209,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,4,30,0,2.46,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,5,27,0,2.464,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,6,30,0,2.885,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,7,24,0,2.598,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,8,27,0,2.345,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,9,29,0,2.657,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,10,26,0,2.379,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,11,26,0,2.819,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,12,28,0,2.296,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,13,32,0,3.082,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,14,28,0,2.275,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,15,29,0,2.271,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,16,29,0,2.286,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,17,27,0,2.821,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,18,32,0,2.453,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,19,26,0,2.313,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,20,28,0,2.19,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,21,28,0,2.353,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,22,30,0,2.196,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,23,30,0,2.646,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,24,30,0,2.371,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,25,29,0,3.007,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,26,29,0,2.379,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,27,28,0,3.124,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,28,28,0,2.995,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Evosuite,29,28,0,2.921,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,1,999,0,2.636,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,2,999,0,2.566,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,3,999,0,2.409,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,4,999,0,2.668,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,5,1100,0,2.716,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,6,1073,0,1.028,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,7,949,0,2.378,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,8,909,0,2.29,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,9,909,0,2.27,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,10,909,0,2.451,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,11,1054,0,2.448,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,12,956,0,2.286,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,13,956,0,2.343,,,,,,,,,,
patch1-Chart-12-Arja.patch,Chart,12,DRR_Randoop,14,990,0,1.427,,,,,,,,,,
