Patch No.,Project,Bug,Test Category,Seed,Total Test No.,Failing Test No.,Time
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,1,999,0,5.349
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,2,1128,9,3.826
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,3,1092,30,5.394
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,4,1092,30,5.414
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,5,1100,0,5.264
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,6,1073,0,3.755
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,7,949,0,5.226
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,8,909,0,5.106
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,9,1023,17,5.228
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,10,1023,17,5.199
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,11,1054,0,5.207
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,12,956,0,5.227
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,13,911,3,3.78
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,14,990,0,3.756
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,15,1035,0,5.284
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,16,1083,0,5.198
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,17,949,0,5.126
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,18,1066,3,5.367
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,19,1066,3,5.283
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,20,1020,0,5.15
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,21,918,0,5.125
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,22,918,0,5.191
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,23,976,12,5.303
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,24,971,0,5.229
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,25,971,0,5.306
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,26,1010,10,5.201
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,27,845,7,5.211
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,28,977,9,5.273
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,29,1019,0,5.189
patch-Chart-12-fix.patch,Chart,12,Randoop_2019,30,985,0,3.834
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,1,1573,0,3.517
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,2,1707,0,3.398
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,3,1859,0,3.449
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,4,1896,0,3.527
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,5,1593,0,3.413
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,6,1871,0,3.42
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,7,1839,0,3.565
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,8,1812,0,3.534
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,9,1901,0,3.48
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,10,1835,0,3.555
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,11,1657,0,3.448
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,12,1515,0,3.392
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,13,1678,0,3.388
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,14,1573,0,3.419
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,15,1675,0,3.504
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,16,1878,0,3.488
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,17,1713,0,3.65
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,18,1622,0,3.584
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,19,1891,0,3.57
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,20,1846,0,3.569
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,21,1558,0,3.536
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,22,1874,0,3.627
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,23,1858,0,3.552
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,24,1887,0,3.578
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,25,1834,0,3.7
