80%,85%,90%,95%,100%
3,5,21,21,28
3,5,24,24,24
3,4,23,23,23
2,4,15,15,24
6,6,8,12,13
2,2,25,25,25
2,2,4,10,14
3,3,4,13,17
4,6,24,24,24
1,6,7,14,21
4,7,7,19,28
3,5,28,28,28
1,2,21,22,29
4,6,25,25,25
8,8,18,18,27
3,4,24,24,24
2,2,5,7,15
6,7,20,20,21
1,1,1,6,14
2,7,12,12,16
4,6,21,21,23
0,1,1,7,22
3,3,3,4,25
4,5,22,22,24
1,1,3,4,14
2,4,25,25,25
2,5,29,29,29
7,7,24,24,24
1,2,25,25,26
4,4,16,16,22
4,7,9,9,15
4,4,4,13,29
1,2,11,11,20
1,4,12,12,15
5,7,18,18,18
3,6,28,28,28
0,1,1,5,25
3,7,26,26,26
2,4,26,26,26
3,3,28,28,28
2,6,21,21,23
0,1,3,7,24
3,5,6,6,21
4,4,19,19,29
3,6,26,26,29
10,10,15,15,27
3,5,21,21,21
3,3,6,13,29
2,8,8,18,22
4,4,23,23,23
2,5,5,9,29
3,5,5,13,21
2,2,6,13,18
3,4,24,24,24
5,11,11,12,26
2,5,9,9,16
2,2,6,6,22
2,6,17,17,22
1,3,12,12,19
2,5,17,17,26
1,7,7,7,29
4,5,9,9,16
5,9,29,29,29
3,9,22,22,22
2,4,4,7,10
3,5,7,7,21
3,9,16,16,20
3,8,16,16,19
1,1,10,10,26
4,4,13,13,23
2,3,6,11,13
1,4,6,10,11
5,5,5,12,18
3,7,18,18,22
4,5,17,17,20
2,4,20,20,29
3,7,28,28,28
5,6,21,21,29
3,3,5,8,22
5,10,16,16,24
3,5,20,20,28
4,5,15,15,27
3,5,5,18,28
7,7,7,17,29
3,10,28,28,28
2,5,16,16,20
2,2,2,15,16
5,8,12,12,26
2,2,21,21,24
3,5,27,27,29
4,6,27,27,27
3,4,4,17,25
6,6,28,28,28
4,9,22,22,22
3,15,27,27,28
4,6,22,22,22
2,3,18,18,28
0,1,4,6,29
3,4,24,24,24
3,4,4,8,29
5,8,8,10,23
4,6,29,29,29
2,2,7,17,11
3,9,9,11,23
2,2,4,6,21
4,6,21,21,25
3,7,25,25,25
3,10,21,21,21
4,6,20,20,20
3,6,27,27,28
4,5,21,21,26
3,3,3,13,27
1,5,6,16,27
3,3,23,23,28
3,3,11,11,13
4,8,18,18,23
2,2,17,17,21
3,5,21,21,26
1,1,12,12,29
4,4,21,21,21
3,7,15,15,21
4,4,7,17,25
2,6,9,19,21
3,15,19,19,25
2,5,8,8,19
4,5,19,19,19
2,3,19,19,19
4,4,4,4,25
