Patch,bug,overfitting,in which trial,execution time,,
patch1-Chart-1-Arja-plausible.patch,Chart1,,,,,
patch1-Chart-1-DeepRepair.patch,Chart1,,,,,
patch1-Chart-1-Jaid-plausible.patch,Chart1,X,,,,
patch1-Chart-1-SketchFix-plausible.patch,Chart1,,,,,
patch1-Chart-1-ssFix-plausible.patch,Chart1,,,,,
patch2-Chart-1-Arja-plausible.patch,Chart1,,,,,
patch2-Chart-1-Jaid-plausible.patch,Chart1,X,,,,
patch2-Chart-1-SequenceR.patch,Chart1,,,,,
patch2-Chart-1-SketchFix-plausible.patch,Chart1,,,,,
patch3-Chart-1-Arja-plausible.patch,Chart1,,,,,
patch3-Chart-1-Jaid-plausible.patch,Chart1,,,,,
patch3-Chart-1-SequenceR.patch,Chart1,,,,,
patch4-Chart-1-Arja-plausible.patch,Chart1,,,,,
patch4-Chart-1-SequenceR.patch,Chart1,,,,,
patch1-Chart-12-Arja-plausible.patch,Chart12,0,0,,error,
patch2-Chart-12-Arja-plausible.patch,Chart12,0,0,,error,
patch3-Chart-12-Arja-plausible.patch,Chart12,0,0,,error,
patch1-Chart-13-Arja-plausible.patch,Chart13,,,,,
patch1-Chart-13-Elixir-plausible.patch,Chart13,,,,,
patch2-Chart-13-Arja-plausible.patch,Chart13,,,,,
patch3-Chart-13-Arja-plausible.patch,Chart13,,,,,
patch4-Chart-13-Arja-plausible.patch,Chart13,,z29,,,
patch5-Chart-13-Arja-plausible.patch,Chart13,,,,,
patch6-Chart-13-Arja-plausible.patch,Chart13,X,29,4257422,,
patch1-Chart-15-Arja-plausible.patch,Chart15,X,29,4621451,,
patch1-Chart-15-JGenProg2015-plausible.patch,Chart15,Overfitting,0,211162,,
patch2-Chart-15-Arja-plausible.patch,Chart15,X,29,5357842,,
patch3-Chart-15-Arja-plausible.patch,Chart15,X,29,5624574,,
patch1-Chart-17-Elixir-plausible.patch,Chart17,,,,,
patch1-Chart-19-Arja-plausible.patch,Chart19,,,,,
patch1-Chart-25-DeepRepair.patch,Chart25,,,,,
patch2-Chart-25-Arja-plausible.patch,Chart25,,,,,
patch3-Chart-25-Arja-plausible.patch,Chart25,,,,,
patch4-Chart-25-Arja-plausible.patch,Chart25,,,,,
