PROJECT,SEED,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Chart_1,1,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1671,397,207,35,397,122,143,44,27,39
Chart_1,2,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1554,514,195,47,362,157,131,56,20,46
Chart_1,3,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1525,543,189,53,354,165,125,62,18,48
Chart_1,4,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1525,543,189,53,354,165,125,62,18,48
Chart_1,5,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1513,555,188,54,350,169,122,65,16,50
Chart_1,6,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1487,581,184,58,344,175,120,67,16,50
Chart_1,7,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1487,581,184,58,344,175,120,67,16,50
Chart_1,8,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1487,581,184,58,344,175,120,67,16,50
Chart_1,9,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1487,581,184,58,344,175,120,67,16,50
Chart_1,10,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1465,603,180,62,339,180,118,69,16,50
Chart_1,11,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1465,603,180,62,339,180,118,69,16,50
Chart_1,12,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1459,609,179,63,338,181,117,70,16,50
Chart_1,13,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,14,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,15,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,16,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,17,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,18,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,19,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
