Patch_Name,Project,Bug,RGT,Seed,#Total_Test,#Failing_Test,#Time,Failure,
patch1-Lang-35-ACS.patch,Lang,35,Randoop_2019,9,1588,6,2.121,1)test009(RegressionTest1)2)test052(RegressionTest1)3)test469(RegressionTest1)4)test473(RegressionTest1)5)test330(RegressionTest0)6)test125(RegressionTest2),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,29,79,5,2.055,1) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:101)2) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:107)3) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:113)4) test14(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test14(ClassUtils_ESTest.java:119)5) test23(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test23(ClassUtils_ESTest.java:175),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,14,79,5,2.055,1) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:117)2) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:123)3) test14(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test14(ClassUtils_ESTest.java:129)4) test21(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test21(ClassUtils_ESTest.java:174)5) test77(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test77(ClassUtils_ESTest.java:597),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,2,82,5,2.048,1) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:103)2) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:109)3) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:115)4) test20(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test20(ClassUtils_ESTest.java:158)5) test81(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test81(ClassUtils_ESTest.java:618),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,9,82,5,2.051,1) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:110)2) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:116)3) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:122)4) test14(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test14(ClassUtils_ESTest.java:128)5) test21(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test21(ClassUtils_ESTest.java:173),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,15,82,5,2.056,1) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:96)2) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:102)3) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:108)4) test14(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test14(ClassUtils_ESTest.java:114)5) test22(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test22(ClassUtils_ESTest.java:167),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,20,85,5,2.055,1) test10(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test10(ClassUtils_ESTest.java:101)2) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:107)3) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:113)4) test19(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test19(ClassUtils_ESTest.java:156)5) test84(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test84(ClassUtils_ESTest.java:640),
patch1-Lang-35-ACS.patch,Lang,35,Randoop_2019,23,1404,5,2.107,1)test144(RegressionTest1)2)test335(RegressionTest0)3)test041(RegressionTest2)4)test164(RegressionTest2)5)test302(RegressionTest2),
patch1-Chart-5-Nopol2015.patch,Chart,5,Randoop_2019,23,1607,5,2.148,1)test336(RegressionTest1)2)test414(RegressionTest1)3)test417(RegressionTest1)4)test070(RegressionTest2)5)test275(RegressionTest2),
patch1-Chart-5-Nopol2015.patch,Chart,5,Randoop_2019,11,2058,5,2.176,1)test139(RegressionTest3)2)test170(RegressionTest3)3)test203(RegressionTest1)4)test489(RegressionTest1)5)test198(RegressionTest2),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,12,73,4,2.051,1) test10(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test10(ClassUtils_ESTest.java:94)2) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:100)3) test18(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test18(ClassUtils_ESTest.java:145)4) test70(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test70(ClassUtils_ESTest.java:543),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,19,75,4,2.054,1) test10(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test10(ClassUtils_ESTest.java:93)2) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:99)3) test17(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test17(ClassUtils_ESTest.java:135)4) test72(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test72(ClassUtils_ESTest.java:554),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,26,76,4,2.055,1) test10(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test10(ClassUtils_ESTest.java:94)2) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:100)3) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:106)4) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:112),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,11,76,4,2.049,1) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:108)2) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:114)3) test14(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test14(ClassUtils_ESTest.java:120)4) test15(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test15(ClassUtils_ESTest.java:126),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,8,78,4,2.055,1) test10(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test10(ClassUtils_ESTest.java:103)2) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:109)3) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:115)4) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:121),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,10,78,4,2.057,1) test10(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test10(ClassUtils_ESTest.java:97)2) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:103)3) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:109)4) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:115),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,24,78,4,2.054,1) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:109)2) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:115)3) test14(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test14(ClassUtils_ESTest.java:121)4) test15(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test15(ClassUtils_ESTest.java:127),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,23,79,4,2.051,1) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:104)2) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:110)3) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:116)4) test14(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test14(ClassUtils_ESTest.java:122),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,16,79,4,2.05,1) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:105)2) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:111)3) test17(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test17(ClassUtils_ESTest.java:143)4) test78(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test78(ClassUtils_ESTest.java:617),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,0,80,4,2.057,1) test09(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test09(ClassUtils_ESTest.java:84)2) test10(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test10(ClassUtils_ESTest.java:90)3) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:96)4) test79(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test79(ClassUtils_ESTest.java:608),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,18,80,4,2.05,1) test10(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test10(ClassUtils_ESTest.java:102)2) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:108)3) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:114)4) test79(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test79(ClassUtils_ESTest.java:613),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,21,80,4,2.056,1) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:105)2) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:111)3) test19(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test19(ClassUtils_ESTest.java:155)4) test77(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test77(ClassUtils_ESTest.java:598),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,4,81,4,2.051,1) test10(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test10(ClassUtils_ESTest.java:99)2) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:105)3) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:111)4) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:117),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,27,82,4,2.051,1) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:101)2) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:107)3) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:113)4) test81(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test81(ClassUtils_ESTest.java:626),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,7,82,4,2.052,1) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:105)2) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:111)3) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:117)4) test14(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test14(ClassUtils_ESTest.java:123),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,6,83,4,2.054,1) test10(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test10(ClassUtils_ESTest.java:99)2) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:105)3) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:111)4) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:117),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,25,83,4,2.054,1) test10(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test10(ClassUtils_ESTest.java:99)2) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:105)3) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:111)4) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:117),
