Patch_Name,Project,Bug,RGT,Seed,#Total_Test,#Failing_Test,#Time,Failure,
patch1-Chart-5-Nopol2015.patch,Chart,5,Randoop_2019,9,1819,105,2.189,1)test003(RegressionTest3)2)test015(RegressionTest3)3)test032(RegressionTest3)4)test033(RegressionTest3)5)test038(RegressionTest3)6)test042(RegressionTest3)7)test058(RegressionTest3)8)test082(RegressionTest3)9)test085(RegressionTest3)10)test087(RegressionTest3)11)test098(RegressionTest3)12)test099(RegressionTest3)13)test128(RegressionTest3)14)test129(RegressionTest3)15)test145(RegressionTest3)16)test151(RegressionTest3)17)test167(RegressionTest3)18)test185(RegressionTest3)19)test187(RegressionTest3)20)test198(RegressionTest3)21)test217(RegressionTest3)22)test247(RegressionTest3)23)test021(RegressionTest1)24)test068(RegressionTest1)25)test095(RegressionTest1)26)test120(RegressionTest1)27)test139(RegressionTest1)28)test159(RegressionTest1)29)test179(RegressionTest1)30)test193(RegressionTest1)31)test214(RegressionTest1)32)test227(RegressionTest1)33)test251(RegressionTest1)34)test270(RegressionTest1)35)test290(RegressionTest1)36)test303(RegressionTest1)37)test305(RegressionTest1)38)test352(RegressionTest1)39)test382(RegressionTest1)40)test390(RegressionTest1)41)test402(RegressionTest1)42)test418(RegressionTest1)43)test452(RegressionTest1)44)test458(RegressionTest1)45)test465(RegressionTest1)46)test476(RegressionTest1)47)test477(RegressionTest1)48)test481(RegressionTest1)49)test059(RegressionTest0)50)test060(RegressionTest0)51)test084(RegressionTest0)52)test100(RegressionTest0)53)test139(RegressionTest0)54)test150(RegressionTest0)55)test260(RegressionTest0)56)test262(RegressionTest0)57)test265(RegressionTest0)58)test277(RegressionTest0)59)test296(RegressionTest0)60)test355(RegressionTest0)61)test363(RegressionTest0)62)test368(RegressionTest0)63)test391(RegressionTest0)64)test395(RegressionTest0)65)test399(RegressionTest0)66)test412(RegressionTest0)67)test430(RegressionTest0)68)test435(RegressionTest0)69)test442(RegressionTest0)70)test447(RegressionTest0)71)test459(RegressionTest0)72)test036(RegressionTest2)73)test043(RegressionTest2)74)test057(RegressionTest2)75)test067(RegressionTest2)76)test087(RegressionTest2)77)test088(RegressionTest2)78)test090(RegressionTest2)79)test096(RegressionTest2)80)test100(RegressionTest2)81)test103(RegressionTest2)82)test112(RegressionTest2)83)test113(RegressionTest2)84)test131(RegressionTest2)85)test186(RegressionTest2)86)test236(RegressionTest2)87)test256(RegressionTest2)88)test270(RegressionTest2)89)test271(RegressionTest2)90)test291(RegressionTest2)91)test298(RegressionTest2)92)test319(RegressionTest2)93)test327(RegressionTest2)94)test344(RegressionTest2)95)test352(RegressionTest2)96)test361(RegressionTest2)97)test368(RegressionTest2)98)test413(RegressionTest2)99)test428(RegressionTest2)100)test431(RegressionTest2)101)test435(RegressionTest2)102)test438(RegressionTest2)103)test442(RegressionTest2)104)test483(RegressionTest2)105)test488(RegressionTest2),
patch1-Chart-5-Nopol2015.patch,Chart,5,Randoop_2019,14,2018,93,2.186,1)test006(RegressionTest3)2)test009(RegressionTest3)3)test040(RegressionTest3)4)test042(RegressionTest3)5)test044(RegressionTest3)6)test052(RegressionTest3)7)test057(RegressionTest3)8)test082(RegressionTest3)9)test132(RegressionTest3)10)test135(RegressionTest3)11)test167(RegressionTest3)12)test247(RegressionTest3)13)test251(RegressionTest3)14)test281(RegressionTest3)15)test286(RegressionTest3)16)test335(RegressionTest3)17)test355(RegressionTest3)18)test383(RegressionTest3)19)test411(RegressionTest3)20)test416(RegressionTest3)21)test417(RegressionTest3)22)test419(RegressionTest3)23)test456(RegressionTest3)24)test495(RegressionTest3)25)test023(RegressionTest1)26)test038(RegressionTest1)27)test053(RegressionTest1)28)test108(RegressionTest1)29)test115(RegressionTest1)30)test131(RegressionTest1)31)test217(RegressionTest1)32)test248(RegressionTest1)33)test283(RegressionTest1)34)test323(RegressionTest1)35)test342(RegressionTest1)36)test347(RegressionTest1)37)test395(RegressionTest1)38)test422(RegressionTest1)39)test434(RegressionTest1)40)test448(RegressionTest1)41)test456(RegressionTest1)42)test491(RegressionTest1)43)test060(RegressionTest0)44)test081(RegressionTest0)45)test088(RegressionTest0)46)test118(RegressionTest0)47)test141(RegressionTest0)48)test145(RegressionTest0)49)test149(RegressionTest0)50)test183(RegressionTest0)51)test186(RegressionTest0)52)test191(RegressionTest0)53)test195(RegressionTest0)54)test202(RegressionTest0)55)test211(RegressionTest0)56)test244(RegressionTest0)57)test269(RegressionTest0)58)test320(RegressionTest0)59)test329(RegressionTest0)60)test332(RegressionTest0)61)test354(RegressionTest0)62)test385(RegressionTest0)63)test410(RegressionTest0)64)test412(RegressionTest0)65)test424(RegressionTest0)66)test433(RegressionTest0)67)test500(RegressionTest0)68)test009(RegressionTest2)69)test011(RegressionTest2)70)test029(RegressionTest2)71)test047(RegressionTest2)72)test094(RegressionTest2)73)test114(RegressionTest2)74)test145(RegressionTest2)75)test146(RegressionTest2)76)test191(RegressionTest2)77)test206(RegressionTest2)78)test225(RegressionTest2)79)test241(RegressionTest2)80)test243(RegressionTest2)81)test274(RegressionTest2)82)test276(RegressionTest2)83)test281(RegressionTest2)84)test288(RegressionTest2)85)test297(RegressionTest2)86)test314(RegressionTest2)87)test356(RegressionTest2)88)test360(RegressionTest2)89)test376(RegressionTest2)90)test389(RegressionTest2)91)test394(RegressionTest2)92)test398(RegressionTest2)93)test472(RegressionTest2),
patch1-Lang-35-ACS.patch,Lang,35,Randoop_2019,21,1365,73,2.113,1)test015(RegressionTest1)2)test016(RegressionTest1)3)test020(RegressionTest1)4)test031(RegressionTest1)5)test126(RegressionTest1)6)test144(RegressionTest1)7)test145(RegressionTest1)8)test178(RegressionTest1)9)test189(RegressionTest1)10)test215(RegressionTest1)11)test221(RegressionTest1)12)test245(RegressionTest1)13)test283(RegressionTest1)14)test284(RegressionTest1)15)test308(RegressionTest1)16)test309(RegressionTest1)17)test349(RegressionTest1)18)test363(RegressionTest1)19)test383(RegressionTest1)20)test406(RegressionTest1)21)test416(RegressionTest1)22)test422(RegressionTest1)23)test431(RegressionTest1)24)test438(RegressionTest1)25)test454(RegressionTest1)26)test457(RegressionTest1)27)test489(RegressionTest1)28)test034(RegressionTest0)29)test047(RegressionTest0)30)test059(RegressionTest0)31)test098(RegressionTest0)32)test104(RegressionTest0)33)test136(RegressionTest0)34)test168(RegressionTest0)35)test175(RegressionTest0)36)test210(RegressionTest0)37)test223(RegressionTest0)38)test231(RegressionTest0)39)test234(RegressionTest0)40)test266(RegressionTest0)41)test275(RegressionTest0)42)test321(RegressionTest0)43)test322(RegressionTest0)44)test331(RegressionTest0)45)test341(RegressionTest0)46)test349(RegressionTest0)47)test359(RegressionTest0)48)test386(RegressionTest0)49)test411(RegressionTest0)50)test419(RegressionTest0)51)test477(RegressionTest0)52)test482(RegressionTest0)53)test483(RegressionTest0)54)test486(RegressionTest0)55)test495(RegressionTest0)56)test001(RegressionTest2)57)test006(RegressionTest2)58)test019(RegressionTest2)59)test050(RegressionTest2)60)test063(RegressionTest2)61)test084(RegressionTest2)62)test094(RegressionTest2)63)test109(RegressionTest2)64)test117(RegressionTest2)65)test130(RegressionTest2)66)test160(RegressionTest2)67)test188(RegressionTest2)68)test208(RegressionTest2)69)test218(RegressionTest2)70)test251(RegressionTest2)71)test277(RegressionTest2)72)test281(RegressionTest2)73)test289(RegressionTest2),
patch1-Chart-5-Nopol2015.patch,Chart,5,Randoop_2019,13,2045,17,2.217,1)test015(RegressionTest3)2)test062(RegressionTest3)3)test184(RegressionTest3)4)test395(RegressionTest3)5)test405(RegressionTest3)6)test442(RegressionTest3)7)test158(RegressionTest1)8)test294(RegressionTest1)9)test492(RegressionTest1)10)test370(RegressionTest0)11)test407(RegressionTest0)12)test455(RegressionTest0)13)test043(RegressionTest2)14)test094(RegressionTest2)15)test231(RegressionTest2)16)test336(RegressionTest2)17)test396(RegressionTest2),
patch1-Lang-35-ACS.patch,Lang,35,Randoop_2019,1,1247,12,2.111,1)test025(RegressionTest1)2)test307(RegressionTest1)3)test326(RegressionTest1)4)test171(RegressionTest0)5)test173(RegressionTest0)6)test191(RegressionTest0)7)test233(RegressionTest0)8)test238(RegressionTest0)9)test391(RegressionTest0)10)test467(RegressionTest0)11)test089(RegressionTest2)12)test230(RegressionTest2),
patch1-Chart-5-Nopol2015.patch,Chart,5,Randoop_2019,6,2034,9,2.276,1)test114(RegressionTest3)2)test346(RegressionTest3)3)test413(RegressionTest3)4)test011(RegressionTest1)5)test022(RegressionTest1)6)test385(RegressionTest0)7)test087(RegressionTest2)8)test116(RegressionTest2)9)test190(RegressionTest2),
patch1-Lang-35-ACS.patch,Lang,35,Randoop_2019,7,1426,8,2.114,1)test334(RegressionTest1)2)test379(RegressionTest0)3)test465(RegressionTest0)4)test474(RegressionTest0)5)test175(RegressionTest2)6)test245(RegressionTest2)7)test293(RegressionTest2)8)test346(RegressionTest2),
patch1-Lang-41-SimFix.patch,Lang,41,Evosuite_2019,1,86,7,2.052,1) test10(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test10(ClassUtils_ESTest.java:92)2) test11(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test11(ClassUtils_ESTest.java:98)3) test12(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test12(ClassUtils_ESTest.java:104)4) test13(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test13(ClassUtils_ESTest.java:110)5) test18(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test18(ClassUtils_ESTest.java:141)6) test83(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test83(ClassUtils_ESTest.java:639)7) test84(org.apache.commons.lang.ClassUtils_ESTest)at org.apache.commons.lang.ClassUtils_ESTest.test84(ClassUtils_ESTest.java:645),
patch1-Lang-35-ACS.patch,Lang,35,Randoop_2019,12,1379,6,2.107,1)test209(RegressionTest1)2)test429(RegressionTest1)3)test444(RegressionTest1)4)test239(RegressionTest0)5)test143(RegressionTest2)6)test279(RegressionTest2),
patch1-Chart-5-Nopol2015.patch,Chart,5,Randoop_2019,8,1549,6,2.165,1)test256(RegressionTest1)2)test349(RegressionTest1)3)test478(RegressionTest0)4)test040(RegressionTest2)5)test109(RegressionTest2)6)test416(RegressionTest2),
