tool_id	project_id	bug_id	patch_id	original_failing_tests	patches_failing_tests
SOFix	Math	5	patch1-Math-5-SOFix.patch	-	-
SOFix	Math	33	patch1-Math-33-SOFix.patch	-	-
SOFix	Math	34	patch1-Math-34-SOFix.patch	-	-
SOFix	Math	50	patch1-Math-50-SOFix.patch	1	0
SOFix	Math	57	patch1-Math-57-SOFix.patch	1	0
SOFix	Math	58	patch1-Math-58-SOFix.patch	1	1
SOFix	Math	59	patch1-Math-59-SOFix.patch	1	0
SOFix	Math	70	patch1-Math-70-SOFix.patch	1	0
SOFix	Math	75	patch1-Math-75-SOFix.patch	1	0
SOFix	Math	80	patch1-Math-80-SOFix.patch	1	0
SOFix	Math	82	patch1-Math-82-SOFix.patch	0	0
SOFix	Math	85	patch1-Math-85-SOFix.patch	1	0
SOFix	Time	19	patch1-Time-19-SOFix.patch	1	0
SketchFix	Chart	1	patch-Chart-1-SketchFix.patch	-	-
SketchFix	Chart	8	patch-Chart-8-SketchFix.patch	-	-
SketchFix	Chart	9	patch-Chart-9-SketchFix.patch	-	-
SketchFix	Chart	11	patch-Chart-11-SketchFix.patch	-	-
SketchFix	Chart	20	patch-Chart-20-SketchFix.patch	-	-
SketchFix	Chart	24	patch-Chart-24-SketchFix.patch	-	-
SketchFix	Closure	14	patch-Closure-14-SketchFix.patch	-	-
SketchFix	Closure	62	patch-Closure-62-SketchFix.patch	-	-
SketchFix	Closure	126	patch-Closure-126-SketchFix.patch	-	-
SketchFix	Lang	6	patch-Lang-6-SketchFix.patch	-	-
SketchFix	Lang	55	patch-Lang-55-SketchFix.patch	-	-
SketchFix	Lang	59	patch-Lang-59-SketchFix.patch	-	-
SketchFix	Math	5	patch-Math-5-SketchFix.patch	-	-
SketchFix	Math	33	patch-Math-33-SketchFix.patch	-	-
SketchFix	Math	59	patch-Math-59-SketchFix.patch	-	-
SketchFix	Math	70	patch-Math-70-SketchFix.patch	-	-
SketchFix	Math	82	patch-Math-82-SketchFix.patch	-	-
SketchFix	Math	85	patch-Math-85-SketchFix.patch	-	-
ssFix	Chart	1	patch-Chart-1-ssFix.patch	2	1
ssFix	Chart	20	patch-Chart-20-ssFix.patch	2	1
ssFix	Chart	24	patch-Chart-24-ssFix.patch	2	1
ssFix	Closure	14	patch-Closure-14-ssFix.patch	3	0
ssFix	Closure	115	patch-Closure-115-ssFix.patch	7	0
ssFix	Lang	2	patch-Lang-2-ssFix.patch	1	1
ssFix	Lang	6	patch-Lang-6-ssFix.patch	1	0
ssFix	Lang	21	patch-Lang-21-ssFix.patch 	1	0
ssFix	Lang	27	patch-Lang-27-ssFix.patch	1	0
ssFix	Lang	33	patch-Lang-33-ssFix.patch	1	0
ssFix	Lang	43	patch-Lang-43-ssFix.patch	1	0
ssFix	Lang	59	patch-Lang-59-ssFix.patch	1	0 
ssFix	Math	30	patch-Math-30-ssFix.patch	1	0
ssFix	Math	33	patch-Math-33-ssFix.patch	1	0
ssFix	Math	41	patch-Math-41-ssFix.patch	1	0
ssFix	Math	50	patch-Math-50-ssFix.patch	1	1 
ssFix	Math	53	patch-Math-53-ssFix.patch	1	0
ssFix	Math	57	patch-Math-57-ssFix.patch	1	0
ssFix	Math	59	patch-Math-59-ssFix.patch	1	1
ssFix	Math	70	patch-Math-70-ssFix.patch	1	0
ssFix	Math	79	patch-Math-79-ssFix.patch	1	0 
ssFix	Math	80	patch-Math-80-ssFix.patch	1	0









