tool_id	project_id	bug_id	patch_id	original_failing_tests	patches_failing_tests
ACS	Chart	14	patch-Chart-14-ACS.patch	5	3
ACS	Chart	19	patch-Chart-19-ACS.patch	3	2
ACS	Lang	7	patch-Lang-7-ACS.patch	1	0
ACS	Lang	24	patch-Lang-24-ACS.patch	1	0 
ACS	Lang	35	patch-Lang-35-ACS.patch	2	1  
ACS	Math	3	patch-Math-3-ACS.patch	1	0 
ACS	Math	4	patch-Math-4-ACS.patch	-	- 
ACS	Math	5	patch-Math-5-ACS.patch	1	0 
ACS	Math	25	patch-Math-25-ACS.patch	1	0
ACS	Math	35	patch-Math-35-ACS.patch	4	0 
ACS	Math	61	patch-Math-61-ACS.patch	-	-
ACS	Math	82	patch-Math-82-ACS.patch	1	0
ACS	Math	85	patch-Math-85-ACS.patch	1	0
ACS	Math	89	patch-Math-89-ACS.patch	1	0
ACS	Math	90	patch-Math-90-ACS.patch	1	0
ACS	Math	93	patch-Math-93-ACS.patch	1	0
ACS	Math	99	patch-Math-99-ACS.patch	2	0
ACS	Time	15	patch-Time-15-ACS.patch	1	0
Arja 	Chart	3	patch1-Chart-3-Arja.patch	-	-
Arja 	Chart	5	patch1-Chart-5-Arja.patch	-	-
Arja 	Chart	12	patch1-Chart-12-Arja.patch	-	-
Arja 	Lang	20	patch1-Lang-20-Arja.patch	2	0
Arja 	Lang	35	patch1-Lang-35-Arja.patch	2	1
Arja 	Lang	43	patch1-Lang-43-Arja.patch	1	0
Arja 	Lang	45	patch1-Lang-45-Arja.patch	-	-
Arja 	Math	5	patch1-Math-5-Arja.patch	1	0
Arja 	Math	22	patch1-Math-22-Arja.patch	-	-
Arja 	Math	39	patch1-Math-39-Arja.patch	-	-
Arja 	Math	50	patch1-Math-50-Arja.patch	1	0
Arja 	Math	53	patch1-Math-53-Arja.patch	1	0
Arja 	Math	58	patch1-Math-58-Arja.patch	1	0
Arja 	Math	70	patch1-Math-70-Arja.patch	1	0
Arja 	Math	73	patch1-Math-73-Arja.patch	1	0
Arja 	Math	86	patch1-Math-86-Arja.patch	1	0
Arja 	Math	98	patch1-Math-98-Arja.patch	-	-
Arja 	Time	15	patch1-Time-15-Arja.patch	1	0
CapGen	Chart	1	patch-Chart-1-CapGen.patch	2	1
CapGen	Chart	8	patch-Chart-8-CapGen.patch	2	1
CapGen	Chart	11	patch1-Chart-11-CapGen.patch	-	-
CapGen	Chart	11	patch2-Chart-11-CapGen.patch	-	-
CapGen	Chart	24	patch-Chart-24-CapGen.patch	-	-
CapGen	Lang	6	patch-Lang-6-CapGen.patch	1	0
CapGen	Lang	26	patch-Lang-26-CapGen.patch	1	0
CapGen	Lang	43	patch1-Lang-43-CapGen.patch	1	0
CapGen	Lang	43	patch2-Lang-43-CapGen.patch	1	0
CapGen	Lang	43	patch3-Lang-43-CapGen.patch	1	0
CapGen	Lang	57	patch1-Lang-57-CapGen.patch	-	-
CapGen	Lang	57	patch2-Lang-57-CapGen.patch	-	-
CapGen	Lang	57	patch3-Lang-57-CapGen.patch	-	-
CapGen	Lang	59	patch-Lang-59-CapGen.patch	1	0
CapGen	Math	5	patch-Math-5-CapGen.patch	1	0
CapGen	Math	30	patch-Math-30-CapGen.patch	-	-
CapGen	Math	33	patch-Math-30-CapGen.patch	-	-
CapGen	Math	33	patch-Math-33-CapGen.patch	1	0
CapGen	Math	53	patch1-Math-53-CapGen.patch	1	0
CapGen	Math	53	patch2-Math-53-CapGen.patch	1	0
CapGen	Math	57	patch-Math-57-CapGen.patch	1	0
CapGen	Math	58	patch-Math-58-CapGen.patch	1	0  
CapGen	Math	59	patch-Math-59-CapGen.patch	1	0
CapGen	Math	63	patch-Math-63-CapGen.patch	1	0
CapGen	Math	65	patch-Math-65-CapGen.patch	-	-
CapGen	Math	70	patch-Math-70-CapGen.patch	1	0
CapGen	Math	75	patch-Math-75-CapGen.patch	-	-
CapGen	Math	80	patch-Math-80-CapGen.patch	-	-
CapGen	Math	85	patch-Math-85-CapGen.patch 	1	0
Cardumen	Chart	1	patch1-Chart-1-Cardumen.patch	-	-
Cardumen	Chart	1	patch2-Chart-1-Cardumen.patch	-	-
Cardumen	Chart	1	patch3-Chart-1-Cardumen.patch	-	-
Cardumen	Chart	1	patch4-Chart-1-Cardumen.patch	-	-
Cardumen	Chart	1	patch5-Chart-1-Cardumen.patch	-	-
Cardumen	Chart	3	patch1-Chart-3-Cardumen.patch	-	-
Cardumen	Chart	3	patch2-Chart-3-Cardumen.patch	-	-
Cardumen	Chart	3	patch3-Chart-3-Cardumen.patch	-	-
Cardumen	Chart	3	patch4-Chart-3-Cardumen.patch	-	-
Cardumen	Chart	3	patch5-Chart-3-Cardumen.patch	-	-
Cardumen	Chart	4	patch1-Chart-4-Cardumen.patch	-	-
Cardumen	Chart	4	patch2-Chart-4-Cardumen.patch	-	-
Cardumen	Chart	5	patch1-Chart-5-Cardumen.patch	-	-
Cardumen	Chart	5	patch2-Chart-5-Cardumen.patch	-	-
Cardumen	Chart	5	patch3-Chart-5-Cardumen.patch	-	-
Cardumen	Chart	5	patch4-Chart-5-Cardumen.patch	-	-
Cardumen	Chart	5	patch5-Chart-5-Cardumen.patch	-	-
Cardumen	Chart	6	patch1-Chart-6-Cardumen.patch	-	-
Cardumen	Chart	6	patch2-Chart-6-Cardumen.patch	-	-
Cardumen	Chart	7	patch1-Chart-7-Cardumen.patch	-	-
Cardumen	Chart	9	patch1-Chart-9-Cardumen.patch	-	-
Cardumen	Chart	9	patch2-Chart-9-Cardumen.patch	-	-
Cardumen	Chart	9	patch3-Chart-9-Cardumen.patch	-	-
Cardumen	Chart	9	patch4-Chart-9-Cardumen.patch	-	-
Cardumen	Chart	9	patch5-Chart-9-Cardumen.patch	-	-
Cardumen	Chart	11	patch1-Chart-11-Cardumen.patch	-	-
Cardumen	Chart	11	patch2-Chart-11-Cardumen.patch	-	-
Cardumen	Chart	12	patch1-Chart-12-Cardumen.patch	-	-
Cardumen	Chart	13	patch1-Chart-13-Cardumen.patch	-	-
Cardumen	Chart	13	patch2-Chart-13-Cardumen.patch	-	-
Cardumen	Chart	13	patch3-Chart-13-Cardumen.patch	-	-
Cardumen	Chart	13	patch4-Chart-13-Cardumen.patch	-	-
Cardumen	Chart	13	patch5-Chart-13-Cardumen.patch	-	-
Cardumen	Chart	15	patch1-Chart-15-Cardumen.patch	-	-
Cardumen	Chart	15	patch2-Chart-15-Cardumen.patch	-	-
Cardumen	Chart	15	patch3-Chart-15-Cardumen.patch	-	-
Cardumen	Chart	15	patch4-Chart-15-Cardumen.patch	-	-
Cardumen	Chart	15	patch5-Chart-15-Cardumen.patch	-	-
Cardumen	Chart	17	patch1-Chart-17-Cardumen.patch	-	-
Cardumen	Chart	24	patch1-Chart-24-Cardumen.patch	-	-
Cardumen	Chart	24	patch2-Chart-24-Cardumen.patch	-	-
Cardumen	Chart	24	patch3-Chart-24-Cardumen.patch	-	-
Cardumen	Chart	25	patch1-Chart-25-Cardumen.patch	-	-
Cardumen	Chart	25	patch2-Chart-25-Cardumen.patch	-	-
Cardumen	Chart	25	patch3-Chart-25-Cardumen.patch	-	-
Cardumen	Chart	25	patch4-Chart-25-Cardumen.patch	-	-
Cardumen	Chart	25	patch5-Chart-25-Cardumen.patch	-	-
Cardumen	Chart	26	patch1-Chart-26-Cardumen.patch	-	-
Cardumen	Chart	26	patch2-Chart-26-Cardumen.patch	-	-
Cardumen	Chart	26	patch3-Chart-26-Cardumen.patch	-	-
Cardumen	Chart	26	patch4-Chart-26-Cardumen.patch	-	-
Cardumen	Chart	26	patch5-Chart-26-Cardumen.patch	-	-
Cardumen	Closure	7	patch1-Closure-7-Cardumen.patch	1	0
Cardumen	Closure	7	patch2-Closure-7-Cardumen.patch	1	0
Cardumen	Closure	10	patch1-Closure-10-Cardumen.patch	1	0
Cardumen	Closure	10	patch2-Closure-10-Cardumen.patch	-	-
Cardumen	Closure	10	patch3-Closure-10-Cardumen.patch	-	-
Cardumen	Closure	10	patch4-Closure-10-Cardumen.patch	-	-
Cardumen	Closure	12	patch1-Closure-12-Cardumen.patch	-	-
Cardumen	Closure	12	patch2-Closure-12-Cardumen.patch	-	-
Cardumen	Closure	13	patch1-Closure-13-Cardumen.patch	-	-
Cardumen	Closure	13	patch2-Closure-21-Cardumen.patch	-	-
Cardumen	Closure	21	patch1-Closure-21-Cardumen.patch	-	-
Cardumen	Closure	21	patch2-Closure-21-Cardumen.patch	-	-
Cardumen	Closure	21	patch3-Closure-21-Cardumen.patch	-	-
Cardumen	Closure	21	patch4-Closure-21-Cardumen.patch	-	-
Elixir	Chart	1	patch-Chart-1-Elixir.patch 	2	1
Elixir	Chart	8	patch-Chart-8-Elixir.patch	2	1
Elixir	Chart	9 	patch-Chart-9-Elixir.patch	-	-
Elixir	Chart	11	patch-Chart-11-Elixir.patch	-	-
Elixir	Lang	6	patch-Lang-6-Elixir.patch	1	0
Elixir	Lang	24	patch-Lang-24-Elixir.patch	1	0
Elixir	Lang	26	patch-Lang-26-Elixir.patch	1	0
Elixir	Lang	33	patch-Lang-33-Elixir.patch	1	0
Elixir	Lang	38	patch-Lang-38-Elixir.patch	1	0
Elixir	Lang	43	patch-Lang-43-Elixir.patch 	1	0 
Elixir	Lang	57	patch-Lang-57-Elixir.patch	11	0
Elixir	Lang	59	patch-Lang-59-Elixir.patch	1	0
Elixir	Math	5	patch-Math-5-Elixir.patch	1	0 
Elixir	Math	30	patch-Math-30-Elixir.patch	1	0
Elixir	Math	33	patch-Math-33-Elixir.patch	1	0 
Elixir	Math	34	patch-Math-34-Elixir.patch	1	0
Elixir	Math	50	patch-Math-50-Elixir.patch	1	0
Elixir	Math	57	patch-Math-57-Elixir.patch	1	0
Elixir	Math	58	patch-Math-58-Elixir.patch	1	0
Elixir	Math	59	patch-Math-59-Elixir.patch	1	0 
Elixir	Math	70	patch-Math-70-Elixir.patch	1	0
Elixir	Math	75	patch-Math-75-Elixir.patch	1	0
Elixir	Math	82	patch-Math-82-Elixir.patch	1	0
Elixir	Math	85	patch-Math-85-Elixir.patch	1	0
Elixir	Time	4	patch-Time-4-Elixir.patch	1	0
Elixir	Time	15	patch-Time-15-Elixir.patch	1	0
Jaid	Chart	1	patch-Chart-1-Jaid.patch	-	-
Jaid	Chart	9	patch-Chart-9-Jaid.patch	-	-
Jaid	Chart	24	patch-Chart-24-Jaid.patch	-	-
Jaid	Chart	26	patch-Chart-26-Jaid.patch	-	-
Jaid	Closure	5	patch-Closure-5-Jaid.patch	1	0
Jaid	Closure	18	patch-Closure-18-Jaid.patch	1	0
Jaid	Closure	31	patch-Closure-31-Jaid.patch	1	0 
Jaid	Closure	33	patch-Closure-33-Jaid.patch	1	0
Jaid	Closure	40	patch-Closure-40-Jaid.patch	2	0 
Jaid	Closure	62	patch-Closure-62-Jaid.patch	2	0 
Jaid	Closure	63	patch-Closure-63-Jaid.patch	-	-
Jaid	Closure	70	patch-Closure-70-Jaid.patch	-	-
Jaid	Closure	73	patch-Closure-73-Jaid.patch	1	0
Jaid	Closure	125	patch-Closure-125-Jaid.patch	-	-
Jaid	Closure	126	patch-Closure-126-Jaid.patch	2	0
Jaid	Lang	24	patch-Lang-24-Jaid.patch	1	0
Jaid	Lang	33	patch-Lang-33-Jaid.patch	1	0
Jaid	Lang	38	patch-Lang-38-Jaid.patch	1	0
Jaid	Lang	39	patch-Lang-39-Jaid.patch	1	0
Jaid	Lang	45	patch-Lang-45-Jaid.patch	1	0
Jaid	Lang	51	patch-Lang-51-Jaid.patch	1	0
Jaid	Lang	55	patch-Lang-55-Jaid.patch	1	0
Jaid	Lang	61	patch-Lang-61-Jaid.patch	2	0
Jaid	Math	5	patch-Math-5-Jaid.patch	1	0 
Jaid	Math	32	patch-Math-32-Jaid.patch	1	0 
Jaid	Math	50	patch-Math-50-Jaid.patch	1	0
Jaid	Math	53	patch-Math-53-Jaid.patch	1	0
Jaid	Math	80	patch-Math-80-Jaid.patch	1	0
Jaid	Math	82	patch-Math-82-Jaid.patch	1	0
Jaid	Math	85	patch-Math-85-Jaid.patch	1	0 
Jaid	Math	105	patch-Math-105-Jaid.patch	1	0
SOFix	Chart	1	patch1-Chart-1-SOFix.patch	-	-
SOFix	Chart	4	patch1-Chart-4-SOFix.patch	-	-
SOFix	Chart	11	patch1-Chart-11-SOFix.patch	-	-
SOFix	Chart	24	patch1-Chart-24-SOFix.patch	-	-
SOFix	Chart	26	patch1-Chart-26-SOFix.patch	-	-
SOFix	Lang	6	patch1-Lang-6-SOFix.patch	-	-
SOFix	Lang	21	patch1-Lang-21-SOFix.patch	-	-
SOFix	Lang	51	patch1-Lang-51-SOFix.patch	-	-
SOFix	Lang	59	patch1-Lang-59-SOFix.patch	-	-
SOFix	Math	2	patch1-Math-2-SOFix.patch	-	-
