Patch,bug,result
patch1-Chart-17-Elixir-plausible.patch,Chart17,X
patch1-Chart-19-Arja-plausible.patch,Chart19,Overfitting
patch1-Chart-25-DeepRepair.patch,Chart25,Overfitting
patch2-Chart-25-Arja-plausible.patch,Chart25,Overfitting
patch3-Chart-25-Arja-plausible.patch,Chart25,Overfitting
patch4-Chart-25-Arja-plausible.patch,Chart25,Overfitting
patch5-Chart-25-Arja-plausible.patch,Chart25,Overfitting
patch1-Chart-26-Jaid-plausible.patch,Chart26,Overfitting
patch2-Chart-26-Jaid-plausible.patch,Chart26,Overfitting
patch1-Chart-3-Elixir-plausible.patch,Chart3,Overfitting
patch1-Chart-5-DeepRepair.patch,Chart5,Overfitting
patch1-Chart-5-JGenProg2015-plausible.patch,Chart5,Overfitting
patch1-Chart-7-Arja-plausible.patch,Chart7,X
patch1-Chart-7-DeepRepair.patch,Chart7,Overfitting
patch1-Chart-7-JGenProg2015-plausible.patch,Chart7,X
patch1-Chart-9-Jaid-plausible.patch,Chart9,Overfitting
patch2-Chart-9-Jaid-plausible.patch,Chart9,Overfitting
patch3-Chart-9-Jaid-plausible.patch,Chart9,Overfitting
patch-Closure-115-ssFix-plausible.patch,Closure115,X
patch1-Closure-123-SequenceR.patch,Closure123,X
patch1-Closure-18-SequenceR.patch,Closure18,X
patch3-Closure-18-SequenceR.patch,Closure18,X
patch4-Closure-18-SequenceR.patch,Closure18,X
patch5-Closure-18-SequenceR.patch,Closure18,X
patch1-Closure-33-Jaid-plausible.patch,Closure33,X
patch2-Closure-33-Jaid-plausible.patch,Closure33,X
patch1-Closure-38-SequenceR.patch,Closure38,X
patch2-Closure-38-SequenceR.patch,Closure38,X
patch3-Closure-38-SequenceR.patch,Closure38,X
patch1-Closure-62-Jaid-plausible.patch,Closure62,X
patch1-Closure-63-Jaid-plausible.patch,Closure63,X
patch1-Closure-73-SequenceR.patch,Closure73,X
patch2-Closure-86-SequenceR.patch,Closure86,X
patch3-Closure-86-SequenceR.patch,Closure86,X
patch4-Closure-86-SequenceR.patch,Closure86,X
patch5-Closure-86-SequenceR.patch,Closure86,X
patch1-Closure-92-SequenceR.patch,Closure92,X
patch10-Closure-92-SequenceR.patch,Closure92,X
patch2-Closure-92-SequenceR.patch,Closure92,X
patch3-Closure-92-SequenceR.patch,Closure92,X
patch4-Closure-92-SequenceR.patch,Closure92,X
patch5-Closure-92-SequenceR.patch,Closure92,X
patch6-Closure-92-SequenceR.patch,Closure92,X
patch7-Closure-92-SequenceR.patch,Closure92,X
patch8-Closure-92-SequenceR.patch,Closure92,X
patch9-Closure-92-SequenceR.patch,Closure92,X
patch1-Closure-93-SequenceR.patch,Closure93,X
patch10-Closure-93-SequenceR.patch,Closure93,X
patch2-Closure-93-SequenceR.patch,Closure93,X
patch3-Closure-93-SequenceR.patch,Closure93,X
patch4-Closure-93-SequenceR.patch,Closure93,X
patch5-Closure-93-SequenceR.patch,Closure93,X
patch6-Closure-93-SequenceR.patch,Closure93,X
patch7-Closure-93-SequenceR.patch,Closure93,X
patch8-Closure-93-SequenceR.patch,Closure93,X
patch9-Closure-93-SequenceR.patch,Closure93,X
patch1-Lang-16-Arja-plausible.patch,Lang16,X
patch2-Lang-16-Arja-plausible.patch,Lang16,x
patch1-Lang-20-Arja-plausible.patch,Lang20,x
patch2-Lang-20-Arja-plausible.patch,Lang20,x
patch3-Lang-20-Arja-plausible.patch,Lang20,x
patch1-Lang-22-Arja-plausible.patch,Lang22,overfitting
patch2-Lang-22-Arja-plausible.patch,Lang22,X
patch3-Lang-22-Arja-plausible.patch,Lang22,X
patch4-Lang-22-Arja-plausible.patch,Lang22,X
patch-Lang-27-ssFix-plausible.patch,Lang27,overfitting
patch1-Lang-27-DeepRepair.patch,Lang27,overfitting
patch1-Lang-39-Arja-plausible.patch,Lang39,overfitting
patch1-Lang-39-Elixir-plausible.patch,Lang39,overfitting
patch1-Lang-39-Nopol2015-plausible.patch,Lang39,X
patch1-Lang-39-ACS-plausible.patch,Lang39,X
patch1-Lang-41-Arja-plausible.patch,Lang41,X
patch1-Lang-43-CapGen-plausible.patch,Lang43,X
patch2-Lang-43-Arja-plausible.patch,Lang43,X
patch3-Lang-43-Arja-plausible.patch,Lang43,X
patch4-Lang-43-Arja-plausible.patch,Lang43,X
patch1-Lang-43-Arja-plausible.patch,Lang43,X
patch1-Lang-44-Elixir-plausible.patch,Lang44,X
patch1-Lang-44-SimFix-plausible.patch,Lang44,X
patch1-Lang-45-Jaid-plausible.patch,Lang45,overfitting
patch2-Lang-45-Jaid-plausible.patch,Lang45,overfitting
patch1-Lang-45-SimFix-plausible.patch,Lang45,overfitting
patch1-Lang-50-Arja-plausible.patch,Lang50,overfitting
patch2-Lang-50-Arja-plausible.patch,Lang50,x
patch3-Lang-50-Arja-plausible.patch,Lang50,overfitting
patch4-Lang-50-Arja-plausible.patch,Lang50,x
patch5-Lang-50-Arja-plausible.patch,Lang50,x
patch6-Lang-50-Arja-plausible.patch,Lang50,x
patch1-Lang-51-Arja-plausible.patch,Lang51,x
patch1-Lang-51-Elixir-plausible.patch,Lang51,overfitting
patch1-Lang-51-Jaid-plausible.patch,Lang51,overfitting
patch1-Lang-51-Nopol2015-plausible.patch,Lang51,overfitting
patch2-Lang-51-Arja-plausible.patch,Lang51,overfitting
patch2-Lang-51-Jaid-plausible.patch,Lang51,overfitting
patch3-Lang-51-Jaid-plausible.patch,Lang51,overfitting
patch1-Lang-55-Arja-plausible.patch,Lang55,overfitting
patch1-Lang-55-Jaid-plausible.patch,Lang55,x
patch2-Lang-55-Arja-plausible.patch,Lang55,overfitting
patch2-Lang-55-Jaid-plausible.patch,Lang55,X
patch3-Lang-55-Arja-plausible.patch,Lang55,overfitting
patch3-Lang-55-Jaid-plausible.patch,Lang55,overfitting
patch4-Lang-55-Arja-plausible.patch,Lang55,overfitting
patch5-Lang-55-Arja-plausible.patch,Lang55,overfitting
patch1-Lang-58-Elixir-plausible.patch,Lang58,X
patch1-Lang-59-Arja-plausible.patch,Lang59,X
patch1-Lang-59-CapGen-plausible.patch,Lang59,X
patch10-Lang-59-CapGen-plausible.patch,Lang59,X
patch11-Lang-59-CapGen-plausible.patch,Lang59,X
patch12-Lang-59-CapGen-plausible.patch,Lang59,X
patch13-Lang-59-CapGen-plausible.patch,Lang59,X
patch2-Lang-59-Arja-plausible.patch,Lang59,X
patch2-Lang-59-CapGen-plausible.patch,Lang59,X
patch3-Lang-59-Arja-plausible.patch,Lang59,X
patch3-Lang-59-CapGen-plausible.patch,Lang59,X
patch4-Lang-59-Arja-plausible.patch,Lang59,X
patch4-Lang-59-CapGen-plausible.patch,Lang59,X
patch5-Lang-59-Arja-plausible.patch,Lang59,X
patch5-Lang-59-CapGen-plausible.patch,Lang59,X
patch6-Lang-59-Arja-plausible.patch,Lang59,X
patch6-Lang-59-CapGen-plausible.patch,Lang59,X
patch7-Lang-59-Arja-plausible.patch,Lang59,X
patch7-Lang-59-CapGen-plausible.patch,Lang59,X
patch8-Lang-59-Arja-plausible.patch,Lang59,X
patch8-Lang-59-CapGen-plausible.patch,Lang59,X
patch9-Lang-59-Arja-plausible.patch,Lang59,X
patch9-Lang-59-CapGen-plausible.patch,Lang59,X
patch1-Lang-6-SketchFix-plausible.patch,Lang6,X
patch2-Lang-6-SequenceR.patch,Lang6,X
patch2-Lang-6-SketchFix-plausible.patch,Lang6,X
patch1-Lang-60-Arja-plausible.patch,Lang60,X
patch1-Lang-61-Arja-plausible.patch,Lang61,X
patch1-Lang-61-Jaid-plausible.patch,Lang61,X
patch2-Lang-61-Arja-plausible.patch,Lang61,X
patch2-Lang-61-Jaid-plausible.patch,Lang61,X
patch3-Lang-61-Arja-plausible.patch,Lang61,X
patch4-Lang-61-Arja-plausible.patch,Lang61,X
patch1-Lang-63-Arja-plausible.patch,Lang63,X
patch2-Lang-63-Arja-plausible.patch,Lang63,X
patch3-Lang-63-Arja-plausible.patch,Lang63,X
patch4-Lang-63-Arja-plausible.patch,Lang63,X
patch5-Lang-63-Arja-plausible.patch,Lang63,X
patch1-Lang-63-SimFix-plausible.patch,Lang63,X
patch1-Math-104-Elixir-plausible.patch,Math104,X
patch1-Math-2-Arja-plausible.patch,Math2,overfitting
patch1-Math-2-Elixir-plausible.patch,Math2,overfitting
patch1-Math-2-JGenProg2015-plausible.patch,Math2,overfitting
patch1-Math-2-SOFix-plausible.patch,Math2,overfitting
patch2-Math-2-SOFix-plausible.patch,Math2,overfitting
patch3-Math-2-Arja-plausible.patch,Math2,X
patch4-Math-2-Arja-plausible.patch,Math2,overfitting
patch5-Math-2-Arja-plausible.patch,Math2,overfitting
patch6-Math-2-Arja-plausible.patch,Math2,overfitting
patch7-Math-2-Arja-plausible.patch,Math2,overfitting
patch8-Math-2-Arja-plausible.patch,Math2,overfitting
patch2-Math-2-Arja-plausible.patch,Math2,overfitting
patch1-Math-20-Arja-plausible.patch,Math20,X
patch1-Math-20-Elixir-plausible.patch,Math20,X
patch1-Math-20-ssFix-plausible.patch,Math20,X
patch10-Math-20-Arja-plausible.patch,Math20,X
patch11-Math-20-Arja-plausible.patch,Math20,X
patch2-Math-20-Arja-plausible.patch,Math20,X
patch3-Math-20-Arja-plausible.patch,Math20,X
patch5-Math-20-Arja-plausible.patch,Math20,X
patch6-Math-20-Arja-plausible.patch,Math20,X
patch7-Math-20-Arja-plausible.patch,Math20,X
patch8-Math-20-Arja-plausible.patch,Math20,X
patch9-Math-20-Arja-plausible.patch,Math20,X
patch1-Math-28-ACS-plausible.patch,Math28,X
patch1-Math-28-Arja-plausible.patch,Math28,X
patch1-Math-28-DeepRepair.patch,Math28,X
patch1-Math-28-ssFix-plausible.patch,Math28,X
patch10-Math-28-Arja-plausible.patch,Math28,X
patch11-Math-28-Arja-plausible.patch,Math28,X
patch3-Math-28-Arja-plausible.patch,Math28,X
patch4-Math-28-Arja-plausible.patch,Math28,X
patch5-Math-28-Arja-plausible.patch,Math28,X
patch6-Math-28-Arja-plausible.patch,Math28,X
patch7-Math-28-Arja-plausible.patch,Math28,x
patch8-Math-28-Arja-plausible.patch,Math28,x
patch9-Math-28-Arja-plausible.patch,Math28,x
patch1-Math-28-SimFix-plausible.patch,Math28,x
patch2-Math-28-Arja-plausible.patch,Math28,x
patch-Math-30-ssFix-plausible.patch,Math30,X
patch1-Math-31-Arja-plausible.patch,Math31,X
patch2-Math-31-Arja-plausible.patch,Math31,X
patch3-Math-31-Arja-plausible.patch,Math31,X
patch4-Math-31-Arja-plausible.patch,Math31,X
patch5-Math-31-Arja-plausible.patch,Math31,X
patch6-Math-31-Arja-plausible.patch,Math31,X
patch7-Math-31-Arja-plausible.patch,Math31,X
patch1-Math-32-Elixir-plausible.patch,Math32,x
patch1-Math-32-Jaid-plausible.patch,Math32,overfitting
patch1-Math-33-SketchFix-plausible.patch,Math33,X
patch1-Math-49-Arja-plausible.patch,Math49,X
patch1-Math-49-DeepRepair.patch,Math49,X
patch1-Math-49-JGenProg2015-plausible.patch,Math49,X
patch1-Math-49-Nopol2015-plausible.patch,Math49,X
patch2-Math-49-Arja-plausible.patch,Math49,X
patch3-Math-49-Arja-plausible.patch,Math49,X
patch4-Math-49-Arja-plausible.patch,Math49,X
patch5-Math-49-Arja-plausible.patch,Math49,X
patch6-Math-49-Arja-plausible.patch,Math49,X
patch7-Math-49-Arja-plausible.patch,Math49,X
patch1-Math-5-CapGen-plausible.patch,Math5,X
patch2-Math-5-CapGen-plausible.patch,Math5,X
patch3-Math-5-CapGen-plausible.patch,Math5,X
patch1-Math-50-HDRepair.patch,Math50,Overfitting
patch1-Math-50-Jaid-plausible.patch,Math50,Overfitting
patch3-Math-50-Jaid-plausible.patch,Math50,X
patch1-Math-53-DeepRepair.patch,Math53,Overfitting
patch1-Math-53-Jaid-plausible.patch,Math53,X
patch2-Math-53-Jaid-plausible.patch,Math53,X
patch3-Math-53-Jaid-plausible.patch,Math53,X
patch1-Math-56-Arja-plausible.patch,Math56,X
patch2-Math-56-Arja-plausible.patch,Math56,X
patch1-Math-57-ssFix-plausible.patch,Math57,x
patch1-Math-58-Nopol2015-plausible.patch,Math58,X
patch1-Math-59-SequenceR.patch,Math59,Overfitting
patch1-Math-6-Arja-plausible.patch,Math6,X
patch1-Math-6-SimFix-plausible.patch,Math6,X
patch2-Math-6-Arja-plausible.patch,Math6,
patch1-Math-60-Arja-plausible.patch,Math60,X
patch1-Math-63-CapGen-plausible.patch,Math63,Overfitting
patch1-Math-63-Elixir-plausible.patch,Math63,Overfitting
patch1-Math-63-SequenceR.patch,Math63,X
patch2-Math-63-CapGen-plausible.patch,Math63,Overfitting
patch3-Math-63-CapGen-plausible.patch,Math63,Overfitting
patch4-Math-63-CapGen-plausible.patch,Math63,Overfitting
patch5-Math-63-CapGen-plausible.patch,Math63,Overfitting
patch6-Math-63-CapGen-plausible.patch,Math63,Overfitting
patch7-Math-63-CapGen-plausible.patch,Math63,Overfitting
patch8-Math-63-CapGen-plausible.patch,Math63,Overfitting
patch1-Math-68-Arja-plausible.patch,Math68,X
patch1-Math-70-SketchFix-plausible.patch,Math70,X
patch2-Math-70-SketchFix-plausible.patch,Math70,X
patch1-Math-71-Arja-plausible.patch,Math71,x
patch1-Math-73-ACS-plausible.patch,Math73,X
patch1-Math-73-Elixir-plausible.patch,Math73,X
patch1-Math-73-SimFix-plausible.patch,Math73,X
patch1-Math-74-Arja-plausible.patch,Math74,X
patch-Math-79-ssFix-plausible.patch,Math79,X
patch1-Math-8-Arja-plausible.patch,Math8,overfitting
patch1-Math-8-SimFix-plausible.patch,Math8,overfitting
patch1-Math-8-ssFix-plausible.patch,Math8,X
patch2-Math-8-Arja-plausible.patch,Math8,overfitting
patch3-Math-8-Arja-plausible.patch,Math8,overfitting
patch4-Math-8-Arja-plausible.patch,Math8,overfitting
patch5-Math-8-Arja-plausible.patch,Math8,overfitting
patch6-Math-8-Arja-plausible.patch,Math8,overfitting
patch7-Math-8-Arja-plausible.patch,Math8,overfitting
patch1-Math-80-Arja-plausible.patch,Math80,overfitting
patch1-Math-80-CapGen-plausible.patch,Math80,overfitting
patch1-Math-80-Elixir-plausible.patch,Math80,overfitting
patch1-Math-80-Jaid-plausible.patch,Math80,overfitting
patch1-Math-80-SequenceR.patch,Math80,overfitting
patch10-Math-80-Arja-plausible.patch,Math80,overfitting
patch10-Math-80-CapGen-plausible.patch,Math80,overfitting
patch11-Math-80-Arja-plausible.patch,Math80,overfitting
patch12-Math-80-Arja-plausible.patch,Math80,overfitting
patch13-Math-80-Arja-plausible.patch,Math80,overfitting
patch14-Math-80-Arja-plausible.patch,Math80,overfitting
patch15-Math-80-Arja-plausible.patch,Math80,overfitting
patch2-Math-80-Arja-plausible.patch,Math80,overfitting
patch2-Math-80-CapGen-plausible.patch,Math80,overfitting
patch2-Math-80-Jaid-plausible.patch,Math80,overfitting
patch3-Math-80-Arja-plausible.patch,Math80,overfitting
patch3-Math-80-CapGen-plausible.patch,Math80,overfitting
patch3-Math-80-Jaid-plausible.patch,Math80,overfitting
patch4-Math-80-Arja-plausible.patch,Math80,overfitting
patch4-Math-80-CapGen-plausible.patch,Math80,overfitting
patch5-Math-80-Arja-plausible.patch,Math80,overfitting
patch5-Math-80-CapGen-plausible.patch,Math80,overfitting
patch6-Math-80-Arja-plausible.patch,Math80,overfitting
patch6-Math-80-CapGen-plausible.patch,Math80,overfitting
patch7-Math-80-Arja-plausible.patch,Math80,overfitting
patch7-Math-80-CapGen-plausible.patch,Math80,overfitting
patch8-Math-80-Arja-plausible.patch,Math80,overfitting
patch8-Math-80-CapGen-plausible.patch,Math80,overfitting
patch9-Math-80-Arja-plausible.patch,Math80,overfitting
patch9-Math-80-CapGen-plausible.patch,Math80,overfitting
patch1-Math-81-ACS-plausible.patch,Math81,overfitting
patch1-Math-81-DeepRepair.patch,Math81,overfitting
patch1-Math-81-SimFix-plausible.patch,Math81,overfitting
patch1-Math-82-HDRepair.patch,Math82,X
patch1-Math-82-Jaid-plausible.patch,Math82,X
patch1-Math-82-SimFix-plausible.patch,Math82,overfitting
patch1-Math-82-SketchFix-plausible.patch,Math82,X
patch2-Math-82-Jaid-plausible.patch,Math82,X
patch2-Math-82-SketchFix-plausible.patch,Math82,X
patch3-Math-82-Jaid-plausible.patch,Math82,X
patch3-Math-82-SequenceR.patch,Math82,x
patch4-Math-82-Jaid-plausible.patch,Math82,X
patch1-Math-85-CapGen-plausible.patch,Math85,overfitting
patch1-Math-85-HDRepair.patch,Math85,X
patch1-Math-85-Jaid-plausible.patch,Math85,overfitting
patch1-Math-85-Nopol2015-plausible.patch,Math85,X
patch1-Math-85-SimFix-plausible.patch,Math85,overfitting
patch10-Math-85-SequenceR.patch,Math85,overfitting
patch11-Math-85-SequenceR.patch,Math85,X
patch12-Math-85-SequenceR.patch,Math85,X
patch13-Math-85-SequenceR.patch,Math85,overfitting
patch14-Math-85-SequenceR.patch,Math85,overfitting
patch15-Math-85-SequenceR.patch,Math85,overfitting
patch16-Math-85-SequenceR.patch,Math85,X
patch17-Math-85-SequenceR.patch,Math85,overfitting
patch2-Math-85-CapGen-plausible.patch,Math85,overfitting
patch2-Math-85-Jaid-plausible.patch,Math85,overfitting
patch2-Math-85-SequenceR.patch,Math85,overfitting
patch3-Math-85-CapGen-plausible.patch,Math85,overfitting
patch3-Math-85-Jaid-plausible.patch,Math85,overfitting
patch3-Math-85-SequenceR.patch,Math85,overfitting
patch4-Math-85-Jaid-plausible.patch,Math85,overfitting
patch4-Math-85-SequenceR.patch,Math85,overfitting
patch5-Math-85-SequenceR.patch,Math85,overfitting
patch6-Math-85-SequenceR.patch,Math85,overfitting
patch7-Math-85-SequenceR.patch,Math85,overfitting
patch8-Math-85-SequenceR.patch,Math85,overfitting
patch9-Math-85-SequenceR.patch,Math85,overfitting
patch1-Math-88-SimFix-plausible.patch,Math88,X
patch1-Math-97-ACS-plausible.patch,Math97,overfitting
patch1-Time-11-Arja-plausible.patch,Time11,X
patch1-Time-11-Elixir-plausible.patch,Time11,X
patch1-Time-11-Nopol2015-plausible.patch,Time11,X
patch2-Time-11-Arja-plausible.patch,Time11,X
patch3-Time-11-Arja-plausible.patch,Time11,X
patch4-Time-11-Arja-plausible.patch,Time11,X
patch5-Time-11-Arja-plausible.patch,Time11,X
patch6-Time-11-Arja-plausible.patch,Time11,X
patch7-Time-11-Arja-plausible.patch,Time11,X
patch1-Time-14-Arja-plausible.patch,Time14,X
patch1-Time-4-Arja-plausible.patch,Time4,overfitting
patch1-Time-4-JGenProg2015-plausible.patch,Time4,overfitting
patch2-Time-4-Arja-plausible.patch,Time4,overfitting
patch3-Time-4-Arja-plausible.patch,Time4,overfitting
patch4-Time-4-Arja-plausible.patch,Time4,overfitting
patch5-Time-4-Arja-plausible.patch,Time4,overfitting
patch6-Time-4-Arja-plausible.patch,Time4,overfitting
patch7-Time-4-Arja-plausible.patch,Time4,overfitting
patch1-Lang-7-Arja-plausible.patch,Lang7,X
patch2-Lang-7-Arja-plausible.patch,Lang7,X
patch3-Lang-7-Arja-plausible.patch,Lang7,X
patch4-Lang-7-Arja-plausible.patch,Lang7,X
patch5-Lang-7-Arja-plausible.patch,Lang7,X
patch6-Lang-7-Arja-plausible.patch,Lang7,X
patch7-Lang-7-Arja-plausible.patch,Lang7,X
