Patch,bug,result
patch1-Chart-1-Arja-plausible.patch,Chart1,X
patch1-Chart-1-DeepRepair.patch,Chart1,X
patch1-Chart-1-Jaid-plausible.patch,Chart1,X
patch1-Chart-1-SketchFix-plausible.patch,Chart1,X
patch1-Chart-1-ssFix-plausible.patch,Chart1,X
patch2-Chart-1-Arja-plausible.patch,Chart1,X
patch2-Chart-1-Jaid-plausible.patch,Chart1,X
patch2-Chart-1-SequenceR.patch,Chart1,X
patch2-Chart-1-SketchFix-plausible.patch,Chart1,X
patch3-Chart-1-Arja-plausible.patch,Chart1,X
patch3-Chart-1-Jaid-plausible.patch,Chart1,X
patch3-Chart-1-SequenceR.patch,Chart1,X
patch4-Chart-1-Arja-plausible.patch,Chart1,X
patch4-Chart-1-SequenceR.patch,Chart1,X
patch5-Chart-1-Arja-plausible.patch,Chart1,X
patch6-Chart-1-Arja-plausible.patch,Chart1,X
patch1-Chart-12-Arja-plausible.patch,Chart12,X
patch2-Chart-12-Arja-plausible.patch,Chart12,X
patch3-Chart-12-Arja-plausible.patch,Chart12,X
patch8-Chart-12-Arja-plausible.patch,Chart12,X
patch4-Chart-12-Arja-plausible.patch,Chart12,X
patch5-Chart-12-Arja-plausible.patch,Chart12,X
patch6-Chart-12-Arja-plausible.patch,Chart12,X
patch7-Chart-12-Arja-plausible.patch,Chart12,X
patch6-Chart-13-Arja-plausible.patch
patch1-Chart-13-Arja-plausible.patch,Chart13,Overfitting
patch1-Chart-13-Elixir-plausible.patch,Chart13,Overfitting
patch2-Chart-13-Arja-plausible.patch,Chart13,Overfitting
patch3-Chart-13-Arja-plausible.patch,Chart13,Overfitting
patch4-Chart-13-Arja-plausible.patch,Chart13,Overfitting
patch5-Chart-13-Arja-plausible.patch,Chart13,Overfitting
patch6-Chart-13-Arja-plausible.patch,Chart13,Overfitting
patch1-Chart-15-Arja-plausible.patch,Chart15,X
patch1-Chart-15-JGenProg2015-plausible.patch,Chart15,Overfitting
patch2-Chart-15-Arja-plausible.patch,Chart15,X
patch3-Chart-15-Arja-plausible.patch,Chart15,X
